GeneID	C-1	C-2	C-3	H-1	H-2	H-3	L-1	L-2	L-3
LOC127947792	0.423	0.391	0.398	0.254	0.133	0.133	0.458	0.565	1.188
LOC127969189	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
chst10	1.445	1.416	1.421	0.749	0.811	0.708	2.172	2.510	1.621
LOC127948835	0.040	0.041	0.042	0.037	0.031	0.000	0.175	0.256	0.000
sugt1	33.398	32.431	33.448	24.784	22.972	22.567	35.004	31.988	43.317
LOC127949292	1.225	1.132	1.155	1.117	1.365	1.353	2.011	1.599	0.623
pspc1	1.279	1.301	1.207	0.785	1.048	1.019	1.598	1.518	1.187
bnc2	0.857	0.828	0.825	0.424	0.426	0.495	0.110	0.087	0.146
LOC127950121	0.000	0.000	0.000	0.431	0.587	0.646	0.015	0.032	0.000
LOC127940860	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127950418	9.512	10.096	9.349	14.023	17.914	21.887	24.784	24.748	29.070
LOC127950276	0.308	0.316	0.323	0.043	0.024	0.085	0.322	0.332	0.000
LOC127950587	26.110	26.583	25.675	19.483	16.215	12.462	27.203	26.183	38.987
LOC127950828	17.566	16.766	17.860	7.127	6.204	4.253	5.958	5.587	8.538
ppa2	2.323	1.946	1.900	3.337	3.067	3.312	4.487	5.183	5.443
tet2	1.498	1.436	1.493	1.186	0.911	0.884	1.387	1.581	1.521
cxxc4	0.039	0.040	0.041	0.000	0.000	0.000	0.000	0.000	0.000
LOC127951239	0.000	0.089	0.000	0.080	0.000	0.136	0.035	0.075	0.000
LOC127951180	3.504	3.439	3.380	4.577	4.116	5.310	9.408	9.881	11.491
LOC127951127	0.590	0.595	0.628	0.629	0.630	0.576	1.101	0.922	1.143
LOC127951317	2.878	2.759	2.702	0.344	0.274	0.313	0.731	0.542	0.628
LOC127951444	39.144	39.975	38.937	8.845	7.621	7.566	34.418	32.744	68.305
gpank1	8.116	8.129	8.038	4.855	3.944	4.176	4.395	4.259	4.299
si:ch211-145b13.6	4.874	4.737	4.631	1.469	1.995	2.074	1.166	1.239	2.681
LOC127952145	0.032	0.033	0.067	0.000	0.000	0.000	0.051	0.083	0.120
LOC127952255	1.061	0.917	0.935	1.859	1.231	0.925	1.301	0.962	2.249
LOC127952187	0.960	1.064	0.898	2.095	1.270	1.918	1.480	1.467	0.887
LOC127952338	0.053	0.027	0.028	0.209	0.388	0.294	0.471	0.344	0.212
LOC127952415	0.060	0.062	0.094	0.000	0.094	0.071	0.120	0.129	0.000
npy2r	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127952665	1.095	1.124	1.261	1.494	1.919	1.317	7.741	9.249	0.718
fgg	1624.616	1626.637	1587.578	2263.037	1939.890	1608.681	3071.901	3027.623	1481.639
plrg1	8.335	8.391	8.371	7.577	7.305	6.163	9.915	10.171	8.808
sfrp2	0.110	0.080	0.082	0.000	0.000	0.000	0.000	0.000	0.000
LOC127952782	1.596	1.518	1.440	1.996	2.922	2.880	0.309	0.459	1.177
LOC127952967	0.010	0.010	0.010	0.040	0.008	0.038	0.031	0.033	0.036
LOC127953045	6.159	6.275	5.992	1.518	1.444	1.471	1.716	1.614	1.501
LOC127953267	0.000	0.000	0.000	1.304	1.735	2.386	0.000	0.051	0.000
LOC127953300	0.860	0.811	0.827	0.194	0.283	0.284	0.530	0.569	0.693
LOC127953462	1.768	1.837	1.737	0.824	0.765	0.520	1.077	0.930	0.611
LOC127953666	0.342	0.351	0.328	0.329	0.264	0.202	0.206	0.344	0.354
LOC127953753	0.556	0.636	0.516	0.362	0.597	0.698	0.447	0.479	0.663
LOC127954006	192.770	199.504	189.815	215.758	251.646	278.287	168.078	163.607	224.398
LOC127954165	0.667	0.648	0.653	0.198	0.626	0.658	0.411	0.566	0.404
LOC127954637	0.189	0.194	0.198	0.269	0.149	0.264	0.094	0.125	0.055
LOC127954792	0.502	0.515	0.504	0.179	0.231	0.297	0.298	0.406	0.118
LOC127955258	1.332	1.254	1.237	1.136	1.036	0.905	2.127	2.366	1.695
LOC127955729	0.253	0.232	0.258	0.804	1.175	1.387	0.016	0.018	0.192
LOC127956057	0.213	0.239	0.203	0.054	0.138	0.084	0.000	0.000	0.018
LOC127956148	0.267	0.241	0.246	1.506	1.537	1.910	0.065	0.098	0.015
LOC127941309	0.042	0.043	0.044	0.000	0.000	0.000	0.000	0.000	0.000
LOC127956346	1.219	1.356	1.224	0.470	0.620	0.401	0.531	0.635	0.309
LOC127956257	2.000	1.919	2.005	0.980	0.777	0.664	1.168	1.140	1.067
LOC127956456	3.884	3.881	3.898	2.427	2.670	2.994	2.540	2.719	2.817
LOC127956602	6.339	6.277	6.186	6.502	6.068	6.499	7.618	7.459	7.493
LOC127956917	26.240	26.428	26.004	22.645	24.415	24.347	37.892	33.881	52.187
LOC127956693	0.625	0.597	0.594	0.377	0.412	0.092	0.421	0.288	0.640
LOC127956775	7.898	8.220	7.912	5.817	5.935	5.825	11.312	10.805	14.541
LOC127956845	162.892	165.413	160.699	196.494	207.426	235.687	453.565	452.215	404.396
LOC127956984	0.936	0.887	0.933	0.524	0.503	0.497	1.157	1.171	1.105
LOC127957066	0.086	0.075	0.077	0.000	0.000	0.000	0.000	0.000	0.000
LOC127957138	0.139	0.126	0.128	0.015	0.009	0.000	0.072	0.115	0.000
LOC127957210	2.514	2.526	2.433	2.149	2.347	2.868	1.823	2.120	3.022
smim18	0.000	0.000	0.000	0.000	0.120	0.161	0.000	0.000	0.000
qdprb.1	2.944	2.725	2.703	2.455	2.090	2.380	3.213	2.726	7.801
LOC127957431	0.025	0.026	0.026	0.012	0.039	0.030	0.000	0.000	0.000
LOC127957560	4.180	4.117	4.199	2.621	1.892	1.895	4.731	4.729	3.390
LOC127957696	0.000	0.000	0.000	0.000	0.008	0.016	0.000	0.000	0.000
zmynd10	0.087	0.060	0.061	0.148	0.137	0.195	0.047	0.100	0.000
LOC127941363	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC127957956	9.410	9.032	8.767	1.036	1.470	2.271	3.491	3.010	0.550
LOC127958017	10.537	9.988	10.612	6.547	8.826	10.658	4.403	4.986	6.766
LOC127958107	22.824	22.047	22.834	15.963	16.786	22.786	20.216	20.724	28.578
