Query	KO_ID	KO_name,KO_definition	Hyperlink	Paths
ATP8	K02125	ATPeF08, MTATP8, ATP8; F-type H+-transporting ATPase subunit 8	http://www.genome.jp/dbget-bin/www_bget?ko:K02125	ko00190;ko01100;ko04714;ko05010;ko05012;ko05014;ko05016;ko05020;ko05022;ko05208;ko05415
COX1	K02256	COX1; cytochrome c oxidase subunit 1 [EC:7.1.1.9]	http://www.genome.jp/dbget-bin/www_bget?ko:K02256	ko00190;ko01100;ko04260;ko04714;ko04932;ko05010;ko05012;ko05014;ko05016;ko05020;ko05022;ko05208;ko05415
COX2	K02261	COX2; cytochrome c oxidase subunit 2	http://www.genome.jp/dbget-bin/www_bget?ko:K02261	ko00190;ko01100;ko04260;ko04714;ko04932;ko05010;ko05012;ko05014;ko05016;ko05020;ko05022;ko05208;ko05415
COX3	K02262	COX3; cytochrome c oxidase subunit 3	http://www.genome.jp/dbget-bin/www_bget?ko:K02262	ko00190;ko01100;ko04260;ko04714;ko04932;ko05010;ko05012;ko05014;ko05016;ko05020;ko05022;ko05208;ko05415
CYTB	K00412	CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit	http://www.genome.jp/dbget-bin/www_bget?ko:K00412	ko00190;ko01100;ko02020;ko04260;ko04714;ko04932;ko05010;ko05012;ko05014;ko05016;ko05020;ko05022;ko05208;ko05415
LOC127933119	K19928	ZP3; zona pellucida sperm-binding protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K19928	_
LOC127933120	K19928	ZP3; zona pellucida sperm-binding protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K19928	_
LOC127933121	K19928	ZP3; zona pellucida sperm-binding protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K19928	_
LOC127933122	K19928	ZP3; zona pellucida sperm-binding protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K19928	_
LOC127933123	K19928	ZP3; zona pellucida sperm-binding protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K19928	_
LOC127933125	K03991	MBL; mannose-binding lectin	http://www.genome.jp/dbget-bin/www_bget?ko:K03991	ko04145;ko04610;ko05150;ko05171
LOC127933126	K19928	ZP3; zona pellucida sperm-binding protein 3	http://www.genome.jp/dbget-bin/www_bget?ko:K19928	_
LOC127933128	K03916	BDKRB2; bradykinin receptor B2	http://www.genome.jp/dbget-bin/www_bget?ko:K03916	ko04020;ko04022;ko04071;ko04080;ko04610;ko04750;ko04810;ko04961;ko05142;ko05200
LOC127933130	K03916	BDKRB2; bradykinin receptor B2	http://www.genome.jp/dbget-bin/www_bget?ko:K03916	ko04020;ko04022;ko04071;ko04080;ko04610;ko04750;ko04810;ko04961;ko05142;ko05200
LOC127933137	K23935	ACBD3; golgi resident protein GCP60	http://www.genome.jp/dbget-bin/www_bget?ko:K23935	ko05132
LOC127933138	K08508	SNAP23; synaptosomal-associated protein 23	http://www.genome.jp/dbget-bin/www_bget?ko:K08508	ko04130;ko04611
LOC127933140	K23958	INF2; inverted formin-2	http://www.genome.jp/dbget-bin/www_bget?ko:K23958	_
LOC127933141	K03991	MBL; mannose-binding lectin	http://www.genome.jp/dbget-bin/www_bget?ko:K03991	ko04145;ko04610;ko05150;ko05171
LOC127933142	K17812	CYP1C; cytochrome P450 family 1 subfamily C	http://www.genome.jp/dbget-bin/www_bget?ko:K17812	_
LOC127933143	K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]	http://www.genome.jp/dbget-bin/www_bget?ko:K01939	ko00230;ko00250;ko01100;ko01232;ko01240
LOC127933146	K17460	BMF; Bcl-2-modifying factor	http://www.genome.jp/dbget-bin/www_bget?ko:K17460	ko05206
LOC127933154	K04963	RYR3; ryanodine receptor 3	http://www.genome.jp/dbget-bin/www_bget?ko:K04963	ko04020;ko04371;ko04713;ko04921;ko04970;ko05010;ko05012;ko05020;ko05022
LOC127933155	K14480	APOL; apolipoprotein L	http://www.genome.jp/dbget-bin/www_bget?ko:K14480	_
LOC127933156	K10413	DYNC1H; dynein cytoplasmic 1 heavy chain	http://www.genome.jp/dbget-bin/www_bget?ko:K10413	ko04145;ko04814;ko04962;ko05132
LOC127933158	K24886	TOGARAM; TOG array regulator of axonemal microtubules protein	http://www.genome.jp/dbget-bin/www_bget?ko:K24886	_
LOC127933159	K16857	THBS1; thrombospondin 1	http://www.genome.jp/dbget-bin/www_bget?ko:K16857	ko04015;ko04115;ko04145;ko04151;ko04350;ko04510;ko04512;ko05144;ko05165;ko05205;ko05206;ko05219
LOC127933160	K24971	NEMF, RQC2; nuclear export mediator factor NEMF	http://www.genome.jp/dbget-bin/www_bget?ko:K24971	_
LOC127933162	K24510	VWA5; von Willebrand factor A domain-containing protein 5	http://www.genome.jp/dbget-bin/www_bget?ko:K24510	_
LOC127933163	K11804	DCAF8; DDB1- and CUL4-associated factor 8	http://www.genome.jp/dbget-bin/www_bget?ko:K11804	_
LOC127933165	K24741	WDR20; WD repeat-containing protein 20	http://www.genome.jp/dbget-bin/www_bget?ko:K24741	_
LOC127933166	K10464	KLHL28; kelch-like protein 28	http://www.genome.jp/dbget-bin/www_bget?ko:K10464	_
LOC127933167	K25409	MFAP4; microfibrillar-associated protein 4	http://www.genome.jp/dbget-bin/www_bget?ko:K25409	_
LOC127933168	K06105	TJP4, PILT; tight junction protein 4	http://www.genome.jp/dbget-bin/www_bget?ko:K06105	ko04530
LOC127933169	K11584	PPP2R5; serine/threonine-protein phosphatase 2A regulatory subunit B'	http://www.genome.jp/dbget-bin/www_bget?ko:K11584	ko03015;ko04071;ko04110;ko04113;ko04114;ko04151;ko04152;ko04261;ko04728;ko05165
LOC127933171	K08830	RAGE, MOK; renal tumor antigen [EC:2.7.11.22]	http://www.genome.jp/dbget-bin/www_bget?ko:K08830	_
LOC127933176	K24461	DLK1; protein delta homolog 1	http://www.genome.jp/dbget-bin/www_bget?ko:K24461	_
LOC127933177	K25810	KLHDC1; kelch domain-containing protein 1	http://www.genome.jp/dbget-bin/www_bget?ko:K25810	_
LOC127933179	K15109	SLC25A20_29, CACT, CACL, CRC1; solute carrier family 25 (mitochondrial carnitine/acylcarnitine transporter), member 20/29	http://www.genome.jp/dbget-bin/www_bget?ko:K15109	ko04714
LOC127933184	K23568	EMC7; ER membrane protein complex subunit 7	http://www.genome.jp/dbget-bin/www_bget?ko:K23568	_
LOC127933185	K04133	CHRM5; muscarinic acetylcholine receptor M5	http://www.genome.jp/dbget-bin/www_bget?ko:K04133	ko04020;ko04080;ko04725;ko04810;ko05010;ko05022
LOC127933190	K11471	ASXL; additional sex combs-like protein	http://www.genome.jp/dbget-bin/www_bget?ko:K11471	_
LOC127933191	K25509	beta/gamma crystallin domain-containing protein	http://www.genome.jp/dbget-bin/www_bget?ko:K25509	_
LOC127933192	K11449	JMJD1C; jumonji domain-containing protein 1C [EC:1.14.11.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K11449	ko05202
LOC127933194	K24060	PDZD8; PDZ domain-containing protein 8	http://www.genome.jp/dbget-bin/www_bget?ko:K24060	_
LOC127933195	K08155	SLC18A1_2, VMAT; MFS transporter, DHA1 family, solute carrier family 18 (vesicular amine transporter), member 1/2	http://www.genome.jp/dbget-bin/www_bget?ko:K08155	ko04721;ko04726;ko04728;ko05012;ko05030;ko05031;ko05034
LOC127933196	K05119	ALK, CD246; anaplastic lymphoma kinase [EC:2.7.10.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K05119	ko05200;ko05223;ko05235
LOC127933197	K12884	HNRNPC; heterogeneous nuclear ribonucleoprotein C1/C2	http://www.genome.jp/dbget-bin/www_bget?ko:K12884	ko03040
LOC127933198	K01279	TPP1, CLN2; tripeptidyl-peptidase I [EC:3.4.14.9]	http://www.genome.jp/dbget-bin/www_bget?ko:K01279	ko04142
LOC127933199	K09201	YY; transcription factor YY	http://www.genome.jp/dbget-bin/www_bget?ko:K09201	_
LOC127933200	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01895	ko00010;ko00620;ko00630;ko00640;ko00680;ko00720;ko01100;ko01110;ko01120;ko01200
LOC127933201	K01895	ACSS1_2, acs; acetyl-CoA synthetase [EC:6.2.1.1]	http://www.genome.jp/dbget-bin/www_bget?ko:K01895	ko00010;ko00620;ko00630;ko00640;ko00680;ko00720;ko01100;ko01110;ko01120;ko01200
LOC127933206	K11592	DICER1, DCR1; endoribonuclease Dicer [EC:3.1.26.-]	http://www.genome.jp/dbget-bin/www_bget?ko:K11592	ko05206
LOC127933207	K23399	MGA; MAX gene-associated protein	http://www.genome.jp/dbget-bin/www_bget?ko:K23399	_
